idx,period,amplitude,R21,phase_dif,class
0,0.798,0.076,0.396,6.242000000000001,0
1,0.5427,0.10800000000000001,0.102,7.996,1
2,3.1062,0.11800000000000001,0.052000000000000005,5.505,1
3,7.0156,0.045,0.187,6.816,1
4,0.225,0.294,0.307,6.374,0
5,0.7116,0.204,0.027999999999999997,6.557,1
6,0.2056,0.22399999999999998,0.28800000000000003,6.294,0
7,6.2548,0.015,0.04,3.738,1
8,0.7818,0.022000000000000002,0.037000000000000005,3.1430000000000002,1
9,1.1724,0.193,0.758,6.266,0
10,34.454,0.5660000000000001,0.385,5.0680000000000005,1
11,29.8318,0.511,0.366,4.665,1
12,3.1366,0.031,0.128,7.689,1
13,45.1273,0.322,0.27899999999999997,5.124,1
14,22.707,0.387,0.293,4.809,1
15,0.1835,0.721,0.368,6.321000000000001,0
16,0.8249,0.38299999999999995,0.866,6.301,0
17,23.3178,0.583,0.331,5.039,1
18,39.3889,0.575,0.385,5.162000000000001,1
19,0.2522,0.095,0.083,6.223,0
20,35.6997,0.607,0.435,5.332000000000001,1
21,17.2697,0.5670000000000001,0.313,5.349,1
22,0.3289,0.266,0.109,5.087,1
23,31.8223,0.833,0.46299999999999997,5.099,1
24,0.1937,0.34,0.16899999999999998,6.318,0
25,21.2662,0.498,0.324,5.121,1
26,2.0243,0.24,0.364,6.5089999999999995,0
27,7.3966,0.138,0.109,6.643,1
28,7.3957,0.128,0.174,7.57,1
29,47.4545,0.643,0.414,5.557,1
30,26.3391,0.988,0.46799999999999997,5.035,1
31,30.5056,0.251,0.312,5.087,1
32,37.5444,0.636,0.436,5.369,1
33,2.1377,0.027999999999999997,0.16899999999999998,6.057,1
34,0.1427,0.55,0.294,6.3260000000000005,0
35,48.0851,0.536,0.41100000000000003,5.386,1
36,1.5803,0.132,0.01,6.235,1
37,0.2308,0.406,0.221,6.229,0
38,28.1222,0.316,0.42100000000000004,5.1339999999999995,1
39,0.2884,0.078,0.317,6.362,0
40,23.0127,0.405,0.266,4.989,1
41,52.5205,0.43799999999999994,0.35600000000000004,5.3839999999999995,1
42,0.5432,0.21600000000000003,0.636,6.314,0
43,0.9208,0.114,0.41,6.2620000000000005,0
44,0.1811,0.48100000000000004,0.272,6.309,0
45,0.3218,0.307,0.124,5.431,1
46,9.8757,0.059000000000000004,0.405,6.266,0
47,1.3206,0.013000000000000001,0.5670000000000001,5.726,1
48,0.1411,0.098,0.134,6.274,0
49,0.5301,0.026000000000000002,0.198,4.603,1
50,10.9526,0.062,0.158,5.312,1
51,3.8754,0.10099999999999999,0.165,2.504,1
52,0.5639,0.098,0.019,5.843,1
53,0.284,0.46399999999999997,0.43799999999999994,6.318,0
54,2.4201,0.067,0.29,8.318999999999999,1
55,1.4144,0.163,0.168,6.263,0
56,0.5572,0.133,0.363,6.156000000000001,0
57,1.3735,0.042,0.8809999999999999,6.405,0
58,3.8328,0.27,0.133,5.699,1
59,0.5227,0.10099999999999999,0.6579999999999999,6.271,0
60,0.2787,0.503,0.193,6.2410000000000005,0
61,1.2985,0.485,0.387,6.263,0
62,1.3053,0.287,0.544,6.152,0
63,1.098,0.14,0.585,6.34,0
64,7.0978,0.34299999999999997,0.33399999999999996,5.425,1
65,8.702,0.436,0.204,5.827999999999999,1
66,16.3627,0.256,0.153,5.737,1
67,16.3537,0.875,0.21100000000000002,5.957000000000001,1
68,0.6117,0.474,0.341,6.297999999999999,0
69,0.677,0.012,0.09699999999999999,3.1919999999999997,1
70,29.5299,0.19,0.62,6.2829999999999995,0
71,1.0792,0.155,0.385,6.122999999999999,0
72,3.826,0.07200000000000001,0.316,6.13,0
73,5.5302,0.09,0.816,5.693,0
74,2.1506,0.033,0.217,7.861000000000001,1
75,0.8397,0.032,0.114,2.677,1
76,1.0938,0.05,0.069,7.457000000000001,1
77,4.0226,0.369,0.38,4.62,1
78,4.5075,0.028999999999999998,0.171,3.573,1
79,10.6887,0.172,0.16399999999999998,8.172,1
80,1.0574,0.48100000000000004,0.33299999999999996,4.346,1
81,2.8789,0.509,0.523,6.18,0
82,0.5755,0.419,0.623,6.295,0
83,0.9057,0.013999999999999999,0.319,4.5280000000000005,1
84,0.3304,0.371,0.214,6.227,0
85,26.9465,0.136,0.066,5.789,1
86,0.5269,0.387,0.544,6.325,0
87,0.2076,0.428,0.317,6.187,0
88,16.7378,0.125,0.24600000000000002,6.617999999999999,0
89,0.4935,0.303,0.762,6.312,0
90,0.1943,0.152,0.131,6.303999999999999,0
91,0.2111,0.316,0.121,6.216,0
92,1.8393,0.161,0.375,6.0489999999999995,0
93,1.1145,0.026000000000000002,0.016,3.33,1
94,3.5274,0.22,0.511,6.291,0
95,1.0625,0.021,0.207,2.4,1
96,6.2888,0.511,0.462,6.343,0
97,8.318,0.134,0.129,6.465,1
98,1.0579,0.028999999999999998,0.337,2.929,1
99,7.1252,0.078,0.054000000000000006,6.48,1
100,5.3584,0.068,0.596,5.729,0
101,75.4225,1.252,0.215,6.981,1
102,8.3587,0.12300000000000001,0.079,3.987,1
103,1.9499,0.175,0.7340000000000001,6.807,0
104,2.0957,0.077,0.081,3.925,1
105,0.4526,0.29100000000000004,0.78,6.239,0
106,4.5784,0.024,0.055999999999999994,4.522,1
107,0.852,0.076,0.366,6.096,0
108,0.852,0.369,0.44299999999999995,6.2,0
109,16.1125,0.434,0.154,6.409,1
110,1.7179,0.055999999999999994,0.068,4.86,1
111,1.3722,0.11800000000000001,0.457,3.2319999999999998,1
112,5.3095,0.344,0.32899999999999996,4.81,1
113,3.212,0.18899999999999997,0.068,4.695,1
114,25.165,0.519,0.185,4.238,1
115,1.9168,0.052000000000000005,0.821,6.561,0
116,0.3603,0.141,0.048,8.546,1
117,3.0354,0.054000000000000006,0.292,4.886,1
118,0.6581,0.38,0.611,6.287999999999999,0
119,0.9294,0.079,0.018000000000000002,5.319,1
120,0.7975,0.433,0.639,6.315,0
121,0.2938,0.441,0.33,6.401,0
122,3.4101,0.096,0.064,2.937,1
123,44.5283,0.435,0.284,5.056,1
124,1.7448,0.052000000000000005,0.545,6.236000000000001,0
125,1.7447,0.511,0.501,6.207000000000001,0
126,2.9816,0.045,0.626,5.504,1
127,2.2503,0.066,1.001,6.098,0
128,12.2995,0.132,0.16399999999999998,3.127,1
129,2.5242,0.078,0.816,6.251,0
130,0.813,0.391,0.757,6.2989999999999995,0
131,0.8037,0.271,0.652,6.282,0
132,1.6123,0.249,0.795,6.343999999999999,0
133,0.9583,0.309,0.778,6.143,0
134,0.4726,0.19699999999999998,0.319,6.278,0
135,0.6007,0.198,0.439,6.287000000000001,0
136,3.1507,0.201,0.035,3.721,1
137,0.9162,0.10400000000000001,0.065,5.522,1
138,5.2104,0.087,0.27699999999999997,6.0489999999999995,0
139,65.6393,0.526,0.129,3.5810000000000004,1
140,1.5562,0.083,0.5710000000000001,6.311,0
141,2.4281,0.040999999999999995,0.039,6.125,1
142,0.2267,0.159,0.204,6.075,0
143,1.7255,0.133,0.76,6.156000000000001,0
144,0.1685,0.038,0.081,3.24,1
145,4.9746,0.392,0.36200000000000004,4.632,1
146,3.484,0.033,0.166,2.779,1
147,13.1962,0.094,0.042,6.099,1
148,1.7097,0.142,0.44,6.2620000000000005,0
149,6.2466,0.057999999999999996,0.214,5.3260000000000005,1
150,8.9123,0.125,0.18100000000000002,6.192,0
151,1.4968,0.115,0.745,6.25,0
152,1.8467,0.677,0.541,6.235,0
153,2.6699,0.076,0.096,4.654,1
154,17.1298,0.08,0.444,6.65,0
155,7.9123,0.087,0.126,6.527,1
156,0.6132,0.335,0.35700000000000004,6.307,0
157,0.6824,0.07400000000000001,0.345,7.438,1
158,1.474,0.17800000000000002,0.635,6.199,0
159,1.1953,0.107,0.081,5.794,1
160,6.8032,0.038,0.316,6.796,1
161,7.004,0.11,0.079,6.421,1
162,4.2127,0.155,1.036,6.396,0
163,0.2228,0.37,0.141,6.267,0
164,31.0797,0.19,0.16,5.681,1
165,3.3344,0.402,0.321,4.415,1
166,4.4258,0.033,0.099,4.684,1
167,5.8924,0.276,0.35200000000000004,4.925,1
168,5.8949,0.052000000000000005,0.47200000000000003,5.052,1
169,0.6585,0.047,0.325,2.4730000000000003,1
170,1.4031,0.033,0.08800000000000001,8.176,1
171,9.6545,0.244,0.971,6.1610000000000005,0
172,0.7316,0.06,0.7659999999999999,6.341,0
173,2.1078,0.122,0.72,6.365,0
174,0.4461,0.048,0.5760000000000001,6.046,0
175,2.2155,0.03,0.324,6.3260000000000005,1
176,1.497,0.35700000000000004,0.406,6.255,0
177,1.6143,0.25,0.45899999999999996,6.2170000000000005,0
178,1.7142,0.048,0.035,7.857,1
179,1.8435,0.321,0.528,6.261,0
180,2.5369,0.028999999999999998,0.336,6.752000000000001,1
181,11.3685,0.092,0.133,3.7110000000000003,1
182,8.2181,0.139,0.124,5.05,1
183,1.957,0.308,0.44299999999999995,6.274,0
184,0.4532,0.77,0.469,4.176,1
185,0.4769,0.297,0.872,6.441,0
186,0.6141,0.122,0.39799999999999996,6.593999999999999,0
187,0.1696,0.19399999999999998,0.152,6.172999999999999,0
188,1.1577,0.159,0.493,6.256,0
189,4.8426,0.677,0.40399999999999997,6.542999999999999,1
190,2.0658,0.203,0.7020000000000001,6.294,0
191,1.9662,0.051,0.055999999999999994,8.257,1
192,0.3056,0.27899999999999997,0.132,6.2829999999999995,0
193,0.1303,0.102,0.366,6.221,0
194,1.5012,0.055,0.345,4.574,1
195,0.3314,0.223,0.14300000000000002,6.1610000000000005,0
196,0.3518,0.11699999999999999,0.069,6.218999999999999,0
197,0.2175,0.086,0.061,5.2,1
198,0.5629,0.609,0.878,6.229,0
199,3.8307,0.048,0.556,4.66,1
200,0.9327,0.16899999999999998,0.53,6.417999999999999,0