idx,petal_length_cm,petal_width_cm,class
0,1.4,0.2,0
1,1.4,0.2,0
2,1.3,0.2,0
3,1.5,0.2,0
4,1.4,0.2,0
5,1.7,0.4,0
6,1.4,0.3,0
7,1.5,0.2,0
8,1.4,0.2,0
9,1.5,0.1,0
10,1.5,0.2,0
11,1.6,0.2,0
12,1.4,0.1,0
13,1.1,0.1,0
14,1.2,0.2,0
15,1.5,0.4,0
16,1.3,0.4,0
17,1.4,0.3,0
18,1.7,0.3,0
19,1.5,0.3,0
20,1.7,0.2,0
21,1.5,0.4,0
22,1.0,0.2,0
23,1.7,0.5,0
24,1.9,0.2,0
25,1.6,0.2,0
26,1.6,0.4,0
27,1.5,0.2,0
28,1.4,0.2,0
29,1.6,0.2,0
30,1.6,0.2,0
31,1.5,0.4,0
32,1.5,0.1,0
33,1.4,0.2,0
34,1.5,0.1,0
35,1.2,0.2,0
36,1.3,0.2,0
37,1.5,0.1,0
38,1.3,0.2,0
39,1.5,0.2,0
40,1.3,0.3,0
41,1.3,0.3,0
42,1.3,0.2,0
43,1.6,0.6,0
44,1.9,0.4,0
45,1.4,0.3,0
46,1.6,0.2,0
47,1.4,0.2,0
48,1.5,0.2,0
49,1.4,0.2,0
50,4.7,1.4,1
51,4.5,1.5,1
52,4.9,1.5,1
53,4.0,1.3,1
54,4.6,1.5,1
55,4.5,1.3,1
56,4.7,1.6,1
57,3.3,1.0,1
58,4.6,1.3,1
59,3.9,1.4,1
60,3.5,1.0,1
61,4.2,1.5,1
62,4.0,1.0,1
63,4.7,1.4,1
64,3.6,1.3,1
65,4.4,1.4,1
66,4.5,1.5,1
67,4.1,1.0,1
68,4.5,1.5,1
69,3.9,1.1,1
70,4.8,1.8,1
71,4.0,1.3,1
72,4.9,1.5,1
73,4.7,1.2,1
74,4.3,1.3,1